id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
46,gsv-ventures,Lightneer,lightneer,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://lightneer.com/,"Bringing together seasoned gaming veterans from Rovio and Digital Chocolate responsible for 50 published titles, 3 billion downloads, 5 billion YouTube views, and revenues of nearly $1 billion, Lightneer is a learning game studio focused on creating and developing next-generation “invisible learning” games.",Seed,,2015,2016,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-lightneer-logo.png,,,,Mark Cochrane;CEO; Lauri Järvilehto & Niklas Hed;Co-Founders; Peter Vesterbacka;Brand Breaker & Co-Founder
47,gsv-ventures,MagicSchool,magicschool,https://gsv.ventures/portfolio/,,https://www.magicschool.ai/,"The most loved, secure, and trusted AI platform for educators and students.",,,,,https://gsv.ventures/wp-content/uploads/2025/11/675021da4d781be205266a6b_6526f4f8a0ab0271982b08bf_Group-108-p-500.png,,,,Adeel Khan
48,gsv-ventures,Mattilda,mattilda,https://gsv.ventures/portfolio/,,https://www.mattilda.io/,"mattilda solves your finances so that you can focus on what really maters, educating.",,,2020,,https://gsv.ventures/wp-content/uploads/2023/08/LOGO-mattilda.png,,,,Jesus Lanza & José Agote
49,gsv-ventures,MasterClass,masterclass,https://gsv.ventures/portfolio/,Future of Talent@Work,https://www.masterclass.com/,"MasterClass is the premier online education platform redefining the digital learning experience by bringing world-class experts and renowned instructors to students globally. A cutting-edge technology platform meant to distill knowledge and create meaningful experiences through online video, MasterClass uses deep analytics to build a content library that caters to modern lifelong learners.",Series C,,2012,2017,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-masterclass-logo.png,,,,David Rogier;Co-Founder & CEO; Aaron Rasmussen;Co-Founder & CTO/Creative Director
50,gsv-ventures,MasteryConnect,masteryconnect,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.masteryconnect.com/,"MasteryConnect is an innovative assessment and curriculum platform that provides innovative tools to over 2.5 million educators and 21 million students worldwide. The cloud-based assessment and data analytics platform enables teachers to track student mastery of skills, target students for intervention, personalize learning, and incorporate data to evaluate their own practices.",Series A,,2009,2013,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-masteryconnect-logo.png,,,,Mick Hewitt;CEO & Co-Founder
51,gsv-ventures,Mighty,mighty,https://gsv.ventures/portfolio/,,https://mightylabs.com/,"Mighty helps companies bring together execution and employee development by connecting goals, work, people, and skills to the most important initiatives inside of an organization. Its solution helps people maximize their impact and development by aligning the needs of employees with the needs of the organization, resulting in better innovation, productivity, and collaboration across the company.",Seed,,2018,2018,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-mighty-logo.png,,,,Brent Alvord;CEO & Co-Founder
52,gsv-ventures,Motimatic,motimatic,https://gsv.ventures/portfolio/,Future of Talent in Post-Secondary,https://motimatic.com/,"Motimatic is an automatic motivation system for educational institutions seeking to improve student retention and completion. The company blends the latest advances in advertising technology and behavioral science to deliver motivating messages to students in place of commercial messages that they’d typically encounter on social media networks like Facebook, Instagram and Twitter, as well as SMS and email.",Seed,,2015,2015,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-motimatic-logo.png,,,,Alan Tripp;CEO & Co-Founder; Greg Gibson;CTO & Co-Founder
53,gsv-ventures,Nearpod,nearpod,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://nearpod.com/,"Nearpod empowers teachers to create learning experiences that engage and inspire students. The company is positioned at the intersection of technology-enabled classrooms and BYOD (Bring Your Own Device), formative assessment, and VR / AR in the classroom. By combining access to digital lessons, interactive features (e.g., Virtual Field Trips and 3D objects), and real-time assessments, the Nearpod platform has become a leader (and teacher favorite!) in teaching and learning with technology.",Series A,,2012,2014,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-nearpod-logo.png,,,,Guido Kovalskys;CEO & Co-Founder; Felipe Sommer;President & Co-Founder; Emiliano Abramzon;Head of Customer Success & Co-Founder
54,gsv-ventures,NoRedInk,noredink,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.noredink.com/,"NoRedInk is a web-based learning platform that helps students improve their grammar and writing skills. The platform incorporates each person’s favorite celebrities, personal interests, and Facebook networks to generate grammar questions and enable teachers to give quizzes, assignments, and practice exercises to help students work through misconceptions.",Seed,,2012,2012,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-noredink-logo.png,,,,Jeff Scheur;CEO & Founder
55,gsv-ventures,Openhouse,openhouse,https://gsv.ventures/portfolio/,,https://openhouse.study/,"Designed to be complementary to schools, the Openhouse learning hub is a holistic afterschool learning space for children aged 4 to 18 years with classes on academic and extra curricular topics of interest, located in the comfort of their neighborhood.",,,2018,,https://gsv.ventures/wp-content/uploads/2023/08/LOGO-Openhouse.png,,,,Yash Poddar & Akshay Rampuria
