id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
11,reach-capital,CommonTime Pathways,commontime-pathways,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.ctpathways.com/,Where higher ed recruits creatives and creatives discover scholarships,,,2025,,https://www.reachcapital.com/wp-content/uploads/2026/04/Logo_MCR_CTP_Horizontal-2.png,,,,Eytan Wurman
12,reach-capital,Curiosities,curiosities,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.curiosities.ai/,AI for kids to build their critical thinking,,,2025,,https://www.reachcapital.com/wp-content/uploads/2026/04/CuriositiesAI_logo-no-tm.svg,,,,Yi Ng
13,reach-capital,Curipod,curipod,https://www.reachcapital.com/companies/?sector=learning,Learning,https://curipod.com/,Sparking students’ curiosity through AI native interactive lessons,,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/Curipod-e1762812943186.png,,,,Eirik Hernes Berre;Frikk Fossan;Jens Aarre Seip
14,reach-capital,Derivita,derivita,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.derivita.com/,First of its kind STEM technology platform and complete computer algebra system.,,,2015,,https://www.reachcapital.com/wp-content/uploads/2022/06/Derivita-1.png,,,,Devlin Daley;Ryan Brown
15,reach-capital,Desmos,desmos,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.desmos.com/,Building a world where every student loves learning math.,,,2007,,https://www.reachcapital.com/wp-content/uploads/2022/06/Desmos-3.png,,,,Eli Luberoff;Eric Berger
16,reach-capital,Doorman,doorman,https://www.reachcapital.com/companies/?sector=learning,Learning,https://doorman.school/,"Helping schools block high-dopamine apps, monitor compliance automatically, and build better digital habits in every classroom.",,,2025,,https://www.reachcapital.com/wp-content/uploads/2025/12/doorman.png,,,,Brian Hawkins;Patrick Cui
17,reach-capital,Doowii,doowii,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.doowii.io/,AI Data Scientist co-pilot for education,,,2023,,https://www.reachcapital.com/wp-content/uploads/2022/06/doowii.svg,,,,Ben Dodson;Ilho Ye;Matthew Young
18,reach-capital,Dropback,dropback,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.dropback.com/,Powering the financial infrastructure for teams in the new era of college sports,,,2024,,https://www.reachcapital.com/wp-content/uploads/2025/03/dropback.svg,,,,Luke Bogus
19,reach-capital,EdCast,edcast,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.edcast.com/,AI-driven learning content management and delivery solution,Exit,,2014,,https://www.reachcapital.com/wp-content/uploads/2022/06/EdCast.svg,,,,Karl Mehta
20,reach-capital,Ednition,ednition,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.ednition.com/,"Next-gen rostering, data integration and interoperability solutions for edtech companies",,,2021,,https://www.reachcapital.com/wp-content/uploads/2022/06/ednition.png,,,,Mick Hewitt;Doug Weber
21,reach-capital,Elevify,elevify,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.apoia.com.br/,AI platform to solve professional problems through courses and tools,,,2023,,https://www.reachcapital.com/wp-content/uploads/2023/12/elevify.png,,,,Rangel Barbosa;Paulo Henrique Silveira
22,reach-capital,Ellevation,ellevation,https://www.reachcapital.com/companies/?sector=learning,Learning,https://ellevationeducation.com/home/default,Program management and instructional tools for English Language Learners,Exit,,2006,,https://www.reachcapital.com/wp-content/uploads/2022/06/Ellevation-1.png,,,,Jordan Meranus;Teddy Rice
23,reach-capital,Ello,ello,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.helloello.com/,Revolutionizing how children learn to read by combining real books with speech recognition tech and AI,,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/Ello-logo.png,,,,Thomas Sayer
24,reach-capital,Epic!,epic,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.getepic.com/,Leading digital library for kids 12 and under,Exit,,2014,,https://www.reachcapital.com/wp-content/uploads/2022/06/Epic-1.png,,,,
25,reach-capital,eSpark,espark,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.esparklearning.com/,Online learning platform for differentiated instruction in math and ELA,,,2010,,https://www.reachcapital.com/wp-content/uploads/2022/06/eSpark.svg,,,,David Vinca;Maya Lopuch
26,reach-capital,EveryDay Labs,everyday-labs,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.everydaylabs.com/,Applying behavioral science and data analytics to reduce K-12 absenteeism and improve student outcomes,Exit,,2015,,https://www.reachcapital.com/wp-content/uploads/2022/06/EveryDay-Labs.png,,,,Emily Bailard;Todd Rogers
27,reach-capital,FourthRev,fourthrev,https://www.reachcapital.com/companies/?sector=learning,Learning,https://fourthrev.co/,"Combining the best of career-focused education built with leading companies, with the academic rigor of the world’s best universities.",,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/FourthRev.png,,,,Jack Hylands;Omar de Silva
28,reach-capital,GPTZero,gptzero,https://www.reachcapital.com/companies/?sector=learning,Learning,https://gptzero.me/,The leading platform for AI detection and tools for responsible AI adoption,,,2023,,https://www.reachcapital.com/wp-content/uploads/2022/06/GPTZero.png,,,,Alex Cui;Edward Tian
29,reach-capital,Gradescope,gradescope,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.gradescope.com/,Streamlining grading by bringing paper-based processes online.,Exit,,2014,,https://www.reachcapital.com/wp-content/uploads/2022/06/Gradescope.svg,,,,Arjun Singh;Sergey Karayev;Ibrahim Awwal
30,reach-capital,Guardians Collective,guardians-collective,https://www.reachcapital.com/companies/?sector=learning,Learning,https://aboutgc.com/,Expert-led parenting circles.,,,2020,,https://www.reachcapital.com/wp-content/uploads/2022/06/Guardians-Collective.svg,,,,Saurabh Kamalapurkar
31,reach-capital,Holberton,holberton,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.holbertonschool.com/,Project-based higher education program to become a full-stack software engineer that requires no upfront tuition,Exit,,2015,,https://www.reachcapital.com/wp-content/uploads/2022/06/Holberton.svg,,,,Sylvain Kalache;Julien Barbier
32,reach-capital,Iago,iago,https://www.reachcapital.com/companies/?sector=learning,Learning,https://getiago.com/,Learn languages by immersing in culture.,,,2022,,https://www.reachcapital.com/wp-content/uploads/2022/06/Iago.png,,,,Alex Lee;Zero Cho
33,reach-capital,Immigo,immigo,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.immigo.io/,Cohort-based English courses to help you speak with confidence.,,,2022,,https://www.reachcapital.com/wp-content/uploads/2022/06/immigo.svg,,,,Chelsea Yerin Jeon;Ryan Jeon
34,reach-capital,Innovamat,innovamat,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.innovamat.com/en,Competency-based math curriculum kids and teachers love.,,,2017,,https://www.reachcapital.com/wp-content/uploads/2022/06/innovamat.png,,,,Alex Espinet Pérez-Muelas;Andreu Dotti Boada;Isaac Sayol Piedra
35,reach-capital,InquirED,inquired,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.inquired.org/,"High-quality instructional materials that support rigorous, authentic, and unforgettable learning experiences",,,2017,,https://www.reachcapital.com/wp-content/uploads/2023/11/inquired.svg,,,,Shanti Elangovan
36,reach-capital,Journify Learning,journify-learning,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.journify-learning.com/,AI co-pilot for special education,,,2024,,https://www.reachcapital.com/wp-content/uploads/2022/06/journify.svg,,,,Mara Steiu;Sagar Manchanda
37,reach-capital,KaiPod Learning,kaipod-learning,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.kaipodlearning.com/,National network of microschools bringing school choice to every community in America,,,2021,,https://www.reachcapital.com/wp-content/uploads/2022/06/Kaipod.png,,,,Amar Kumar
38,reach-capital,Kanu,kanu,https://www.reachcapital.com/companies/?sector=learning,Learning,https://kanu.us/,Peer-to-peer campus marketplace fueled by entrepreneurship education,,,2017,,https://www.reachcapital.com/wp-content/uploads/2022/06/Kanu.png,,,,Andrew Bikash;Ben Grossman
39,reach-capital,Kaymbu,kaymbu,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.kaymbu.com/,Communication and portfolio assessment platform for preschools.,,,2012,,https://www.reachcapital.com/wp-content/uploads/2022/06/kaymbu-1.svg,,,,Kin Lo;Nicole Grubby
40,reach-capital,Kerns,kerns,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.kerns.ai/,Building a delightful knowledge consumption experience,,,,,https://www.reachcapital.com/wp-content/uploads/2025/05/kerns.svg,,,,Ayush Kanodia;Keshav Agrawal
